"ID","StuNun","Data"
"17","js01","標靶"
"18","js01","輪胎"
"19","es39","奶頭"
"20","es39","圓"
"21","es39","圓中圓"
"22","es39","圓中圓中圓"
"23","es39","車燈"
"24","es39","電燈"
"25","es24","馬眼"
"26","es17","9o]["
"32","es34","箭靶"
"33","es17","圓圈"
"34","es34","圓形"
"35","es34","奶頭"
"36","es17","圓圓圈圈"
"37","es34","多層圓形建築"
"38","es11","靶子"
"39","es11","圓圈"
"40","es11","瞳孔"
"41","es34","奶頭偷偷被人惡作劇"
"42","es11","子彈"
"43","es34","圓中圓中圓"
"44","es11","準心"
"45","es34","大圓包小圓"
"46","es11","橘子"
"47","es08","靶"
"48","es11","蘋果"
"49","es08","三個圓"
"50","es11","雞蛋"
"51","es11","水球"
"52","es08","甜甜圈"
"53","es08","輪子"
"54","es40","圓的"
"55","es40","眼睛"
"56","es08","水管"
"57","es09","輪胎"
"58","es40","陀螺"
"59","es08","章魚吸盤"
"60","es40","吸眼球"
"61","es40","大爆射"
"62","es09","盤子"
"63","es09","門把"
"64","es16","標靶"
"65","es16","唱片"
"66","es19","標靶"
"67","es16","眼睛"
"68","es09","標靶"
"69","es16","圓圈"
"70","es26","靶"
"71","es21","標靶"
"72","es21","眼睛"
"73","es26","圓餅圖"
"74","es21","輪子"
"75","es37","標靶"
"76","es21","3個圓"
"77","es37","圓"
"78","es06","圓"
"79","es21","溜溜球"
"80","es06","圓"
"81","es04","輪迴"
"83","es04","標靶"
"84","es06","圓"
"85","es36","弓箭靶"
"86","es36","催眠圖案"
"87","es36","眼球"
"88","es36","車輪"
"89","es36","軸承"
"90","es35","螺旋"
"91","es17","圈圈"
"92","es35","跑道"
"93","es35","跑道"
"94","es35","圓形"
"95","es35","標靶"
"96","es35","無限輪迴"
"97","es35","有大有小"
"98","es12","標靶"
"99","es12","圓規線"
"100","es12","計分板"
"102","es35","無限輪迴"
"103","es12","正確"
"104","es35","跑道"
"105","es35","圓圈"
"106","es35","有大有小"
"107","es35","標靶"
"108","es12","輪迴"
"109","es12","胸部"
"110","es03","標靶"
"111","es03","圓形"
"117","fs06","圓圈"
"118","fs06","棒槌"
"119","fs06","大棒棒"
"120","fs06","很多個圓圈"
"121","fs06","圈圈圈"
"122","fs06","大圈圈"
"123","fs13","YEE"
"124","fs40","好多圈圈"
"125","fs40","更多的圈圈"
"126","fs13","蛋"
"127","fs35","圓圈"
"128","fs34","指紋"
"129","fs03","圓"
"135","fs20","靶子"
"137","fs20","指紋"
"138","fs02","阿不就三個圈圈"
"139","fs20","光碟"
"140","fs02","A片光碟"
"141","fs02","波紋"
"142","fs02","奶頭"
"143","fs02","穴穴"
"144","fs20","吸盤"
