"ID","StuNun","Data"
"20","es39","圓"
"21","es39","圓中圓"
"22","es39","圓中圓中圓"
"33","es17","圓圈"
"34","es34","圓形"
"36","es17","圓圓圈圈"
"37","es34","多層圓形建築"
"39","es11","圓圈"
"43","es34","圓中圓中圓"
"45","es34","大圓包小圓"
"49","es08","三個圓"
"54","es40","圓的"
"61","es40","大爆射"
"69","es16","圓圈"
"76","es21","3個圓"
"77","es37","圓"
"78","es06","圓"
"80","es06","圓"
"84","es06","圓"
"91","es17","圈圈"
"92","es35","跑道"
"94","es35","圓形"
"97","es35","有大有小"
"102","es35","無限輪迴"
"103","es12","正確"
"105","es35","圓圈"
"106","es35","有大有小"
"111","es03","圓形"
"117","fs06","圓圈"
"120","fs06","很多個圓圈"
"121","fs06","圈圈圈"
"122","fs06","大圈圈"
"123","fs13","YEE"
"124","fs40","好多圈圈"
"125","fs40","更多的圈圈"
"127","fs35","圓圈"
"129","fs03","圓"
"138","fs02","阿不就三個圈圈"
"149","fs16","圓"
"151","fs37","圓形"
"152","fs37","圈圈"
"156","fs41","圓圈"
"164","fs11","圓圈"
"167","fs11","你啊罵看著你"
"175","fs33","圓形"
"186","fs11","雖刷閜斯死"
"190","fs11","師枯思無吳"
"192","fs11","堵斥匙眨"
"195","fs36","圓"
"197","fs36","同心圓"
"237","fs10","圓"
"255","fs22","安安"
"256","fs22","俊濠"
"257","fs22","紹瑋"
"260","fs14","怎麼辦"
"261","fs14","我旁邊的人"
"263","fs22","兩個"
"265","fs14","在打我的名字"
"266","fs14","我覺得"
"267","fs14","好困惑"
"269","fs22","呵呵"
"270","fs14","所以我要報復他"
"271","fs22","顆顆"
"272","fs14","他是國華"
"273","fs22","哈哈"
"274","fs14","他在亂答"
"275","fs14","請多見諒"
"276","fs14","謝謝你"
"282","fs05","圓形"
"286","fs19","圓"
"295","fs04","三個圈圈"
"300","fs21","圈圈"
"301","fs21","圓圓"
"303","ks04","圓中圓"
"304","ks04","圓"
"305","ks04","圓圓圓圓圓圓圓"
"306","ks04","圓圓圓圓"
"307","ks04","圓圓圓圓圓圓我在想如果"
"308","ks04","圓圓圓圓圓圓"
"309","ks29","圓中圓中圓圓"
"310","ks29","陳媛"
"311","ks29","陳宗源"
"312","ks29","你很圓"
"313","ks29","頭很圓"
"314","ks29","三顆蛋"
"315","ks04","喔嗨優"
"319","ks24","圓"
"320","ks24","三"
"321","ks12","圓中圓"
"327","ks12","圓"
"330","ks12","圈"
"340","ks24","在一起"
"342","ks24","不公平"
"343","ks24","無法相容"
"361","hs42","同心圓"
"402","gs02","不同半徑的圓"
"425","gs15","專心"
"437","gs07","圓"
"463","gs35","一圓"
"467","gs35","二圓"
"469","gs35","三圓"
"475","gs35","四圓"
"476","gs35","雙圓"
"481","gs35","二雙圓"
"485","gs24","圓圈"
"487","gs33","圓圈"
"493","gs35","四重圓"
"496","gs25","圓圈"
"506","gs25","不是射出"
"511","gs25","三個圓"
"519","gs25","無止境"
"536","gs18","三個圓"
"593","gs02","不同半徑的圓"
"606","gs09","三個同心圓"
"650","gs09","電子移動軌跡"
"689","gs14","圓圈"
"747","gs30","永恆"
"748","gs30","永恆"
"755","gs30","永恆"
"763","gs14","三個圈圈"
"767","gs14","規則"
"783","gs30","成長"
"784","gs30","發展"
"871","gs40","圓圈"
"890","gs10","三個圓"
"911","hs13","四個圓圈"
"928","hs25","鹹鹹圈"
"929","hs25","辣辣圈"
"930","hs25","苦苦圈"
"962","hs05","同心圓"
"966","hs05","但"
"973","hs16","同心圓"
"1003","hs02","同心圓"
"1076","hs29","中圓"
"1079","hs29","大圓"
"1094","hs29","小中大圓都有"
"1175","hs30","數學同心圓"
"1195","hs27","圓圈"
"1204","hs22","點"
"1209","hs31","圓"
"1214","hs31","同心圓"
"1218","hs31","3個圓"
"1226","hs11","圓"
"1241","hs11","同心圓"
"1243","hs06","同心圓"
"1259","hs27","圓圈"
"1290","hs27","圓圈"
"1301","hs15","愛情"
"1362","hs20","同心圓"
"1392","hs27","三個圈"
"1399","hs22","一切的開端"
"1428","bs33","圓"
"1429","bs33","同心圓"
"1432","bs05","圓形"
"1439","bs05","圓形"
"1445","bs05","圓形"
"1452","hs40","店員見"
"1456","bs36","同心圓"
"1458","bs36","同心圓"
"1472","hs11","圓"
"1473","hs11","同心圓"
"1513","hs32","同心圓"
"1525","bs01","圈圈"
"1540","bs31","同心圓"
"1563","bs13","三個圓"
"1568","cs33","三個圓圈"
"1576","hs10","四個圓形"
"1591","bs22","同心圓"
"1599","hs10","同心圓"
"1605","hs10","同心圓"
"1606","hs10","四個圓形"
"1617","bs16","圓"
"1633","bs16","圓"
"1640","bs32","同心圓"
"1659","bs26","圓"
"1661","bs26","小圓"
"1662","bs26","中圓"
"1663","bs26","大圓"
"1687","bs21","圓圈"
"1689","bs21","圓圈"
"1690","bs21","重疊的圓圈"
